ID,Question,Issue,Coded_value,Value_source1,Value_source2,three_rater_match,Notes,Suggested_code
88,Q26,Rater conflict: mixed positive and negative emotions,444,Preocupacion,miedo; satisfaccion; tristeza; agradecido,,Debido a que el agua es muy importante para todo y le preocupa y le da tristeza de que hay gente que no le da la importancia y no la cuida. Satisfaccion porque cuando hay se pueden cubrir las necesidades y agradecdes porque hay lugares que no tienen agua,444
102,Q26,Rater conflict: mixed positive and negative emotions,444,Preocupacion,gratitud,,Preocupacion de que vuelva a pasar la situacion que tener en marzo o abril. Gratitud porque ella si tiene agua y hay gente que no tiene.,444
127,Q26,Sentinel 555 (Other): emotion valence is neutral or 'otro',555,conformidad,other,,"Nunca se les va. Ni aun cuando les dicen que la quitaron, solo vaya la presion.",444
137,Q26,Sentinel 555 (Other): emotion valence is neutral or 'otro',555,conformidad,other,,,444
141,Q26,Rater conflict: mixed positive and negative emotions,444,enojo,tranquilidad; molestia,,Si no falta tranquila. Si falta enojo. Lo peor es que no avisan. Molestia,444
157,Q26,Rater conflict: mixed positive and negative emotions,444,Preocupacion,tranquilidad,,Preocupacion-cobro de dinera. Agrade amiento de que si les manden.,444
179,Q26,Sentinel 555 (Other): emotion valence is neutral or 'otro',555,normal,other,,No es tan estresante es normal porque no te preocupa-si le cae agua,444
197,Q26,Rater conflict: mixed positive and negative emotions,444,frustracion,alivio,,"Frustracion cuando sale muy sucia y cuando huele mal, porque siente que no es segura. Y alivio porque el agua no les falta",444
306,Q26,Rater conflict: mixed positive and negative emotions,444,feliz,ansiedad,,Sabe que no le falta y que eso la lleva a que si hace calor sabe que podria banarse y asi. No se preocupa. La reoterarer les ayuda mucho. A veces siente ansiedad de tanta agua que tiene y que otros no tienen.,444
325,Q26,Rater conflict: mixed positive and negative emotions,444,Preocupacion,alegria,,"Sin agua no viviana, cuando le llega el agua le da mucha alegria y cuando la quitan se preocupa mucho",444
358,Q26,Sentinel 555 (Other): emotion valence is neutral or 'otro',555,Preocupacion; enojo; miedo; frustracion; insatisfaccion; anticipacion,negative; other,,,1
397,Q26,Rater conflict: mixed positive and negative emotions,444,satisfaccion,desperacion; agradecido,,Le desperera que llegue poco--pero si agradece que llega,444
414,Q26,Rater conflict: mixed positive and negative emotions,444,satisfaccion,gratitud,,Satisfaccion y gratitud porque no le falta el agua,0
415,Q26,Rater conflict: mixed positive and negative emotions,444,enojo,tranquilidad,,Enojo para la calidad. Tranquila porque esta cayendo.,444
455,Q26,Rater conflict: mixed positive and negative emotions,444,Preocupacion,tranquilidad,,Preocupacion cuando no cae. Ahora tranquilidad,444
462,Q26,Rater conflict: mixed positive and negative emotions,444,alivio,tristeza,,Tristeza por calidad. Alivio porque tiene.,444
472,Q26,Rater conflict: mixed positive and negative emotions,444,Preocupacion,tranquilidad,,Tranquilidad porque hay pero igual le preocupe,444
476,Q26,Rater conflict: mixed positive and negative emotions,444,Preocupacion,feliz,,Preocupacion que no se vaya a lo. Felicidad cuando llega,444
478,Q26,Rater conflict: mixed positive and negative emotions,444,frustracion,tranquilidad,,"Cuando cae y alcanza a llenar - mas tranquila. Cuando no, frustrante. 2 ayer y hoy cayo bien. 1 dia anterior no cayo.",444
480,Q26,Rater conflict: mixed positive and negative emotions,444,Preocupacion,alivio,,Cuando falta - preocuacion. Alivio porque tiene ahora,444
483,Q26,Rater conflict: mixed positive and negative emotions,444,frustracion,tranquilidad; angustia,,Tranquilidad se normalizo. Encanez: frustracion y angustia. No puede hacer nada.,444
484,Q26,Rater conflict: mixed positive and negative emotions,444,satisfaccion,angustia,,Satisfaccion ahorita. Abril: angustia podia quedar sin agua,444
492,Q26,Rater conflict: mixed positive and negative emotions,444,Preocupacion,feliz,,Felicidad. Abril = preocupacion,444
493,Q26,Rater conflict: mixed positive and negative emotions,444,enojo,satisfaccion,,Enojo por calidad que es mala. Satisfaccion porque tiene,444
495,Q26,Rater conflict: mixed positive and negative emotions,444,miedo,tranquilidad; tranquilidad,,Miedo de no haber. Actual - tranquilos. Pero luego ya no se sabe.,444
